attack,method,f,acc,accept_rate
MinSum,Krum (FedAdam),0.6,0.1,
MinSum,SparseFed-style (FedAdam),0.0,0.8708,
MinSum,SparseFed-style (FedAdam),0.1,0.5352,
MinSum,SparseFed-style (FedAdam),0.2,0.1004,
MinSum,SparseFed-style (FedAdam),0.3,0.4753,
MinSum,SparseFed-style (FedAdam),0.4,0.1,
MinSum,SparseFed-style (FedAdam),0.49,0.1,
MinSum,SparseFed-style (FedAdam),0.6,0.1,
MinSum,AG-PTR (P=I),0.0,0.2924,0.28888888888888886
MinSum,AG-PTR (P=I),0.1,0.1073,0.3888888888888889
MinSum,AG-PTR (P=I),0.2,0.1202,0.3333333333333333
MinSum,AG-PTR (P=I),0.3,0.1769,0.2111111111111111
MinSum,AG-PTR (P=I),0.4,0.318,0.08888888888888889
MinSum,AG-PTR (P=I),0.49,0.392,0.05555555555555555
MinSum,AG-PTR (P=I),0.6,0.0427,0.0
MinSum,AG-PTR (FedAdam-diag P),0.0,0.757,0.35
MinSum,AG-PTR (FedAdam-diag P),0.1,0.7508,0.39444444444444443
MinSum,AG-PTR (FedAdam-diag P),0.2,0.7501,0.42777777777777776
MinSum,AG-PTR (FedAdam-diag P),0.3,0.7505,0.24444444444444444
MinSum,AG-PTR (FedAdam-diag P),0.4,0.7305,0.10555555555555556
MinSum,AG-PTR (FedAdam-diag P),0.49,0.6329,0.05
MinSum,AG-PTR (FedAdam-diag P),0.6,0.0427,0.0
SF,DP-FedAvg (FedAdam),0.0,0.0984,
SF,DP-FedAvg (FedAdam),0.1,0.1172,
SF,DP-FedAvg (FedAdam),0.2,0.4761,
SF,DP-FedAvg (FedAdam),0.3,0.4189,
SF,DP-FedAvg (FedAdam),0.4,0.2319,
SF,DP-FedAvg (FedAdam),0.49,0.1,
SF,DP-FedAvg (FedAdam),0.6,0.1,
SF,FedVRDP-style (FedAdam),0.0,0.5172,
SF,FedVRDP-style (FedAdam),0.1,0.574,
SF,FedVRDP-style (FedAdam),0.2,0.4869,
SF,FedVRDP-style (FedAdam),0.3,0.4278,
SF,FedVRDP-style (FedAdam),0.4,0.2605,
SF,FedVRDP-style (FedAdam),0.49,0.1,
SF,FedVRDP-style (FedAdam),0.6,0.1,
SF,Median (FedAdam),0.0,0.7789,
SF,Median (FedAdam),0.1,0.1,
SF,Median (FedAdam),0.2,0.5252,
SF,Median (FedAdam),0.3,0.2189,
SF,Median (FedAdam),0.4,0.1,
SF,Median (FedAdam),0.49,0.1,
SF,Median (FedAdam),0.6,0.1,
SF,TrimmedMean (FedAdam),0.0,0.8256,
SF,TrimmedMean (FedAdam),0.1,0.6876,
SF,TrimmedMean (FedAdam),0.2,0.1,
SF,TrimmedMean (FedAdam),0.3,0.1,
SF,TrimmedMean (FedAdam),0.4,0.1,
SF,TrimmedMean (FedAdam),0.49,0.1,
SF,TrimmedMean (FedAdam),0.6,0.1,
SF,Krum (FedAdam),0.0,0.1,
SF,Krum (FedAdam),0.1,0.1,
SF,Krum (FedAdam),0.2,0.1,
SF,Krum (FedAdam),0.3,0.1,
SF,Krum (FedAdam),0.4,0.1,
SF,Krum (FedAdam),0.49,0.1,
SF,Krum (FedAdam),0.6,0.1,
SF,SparseFed-style (FedAdam),0.0,0.8708,
SF,SparseFed-style (FedAdam),0.1,0.3213,
SF,SparseFed-style (FedAdam),0.2,0.1,
SF,SparseFed-style (FedAdam),0.3,0.1,
SF,SparseFed-style (FedAdam),0.4,0.1322,
SF,SparseFed-style (FedAdam),0.49,0.1027,
SF,SparseFed-style (FedAdam),0.6,0.1,
SF,AG-PTR (P=I),0.0,0.2924,0.28888888888888886
SF,AG-PTR (P=I),0.1,0.3438,0.19444444444444445
SF,AG-PTR (P=I),0.2,0.1065,0.2777777777777778
SF,AG-PTR (P=I),0.3,0.1119,0.2111111111111111
SF,AG-PTR (P=I),0.4,0.318,0.08888888888888889
SF,AG-PTR (P=I),0.49,0.3364,0.06666666666666667
SF,AG-PTR (P=I),0.6,0.0427,0.0
SF,AG-PTR (FedAdam-diag P),0.0,0.757,0.35
SF,AG-PTR (FedAdam-diag P),0.1,0.7587,0.4777777777777778
SF,AG-PTR (FedAdam-diag P),0.2,0.7547,0.4722222222222222
SF,AG-PTR (FedAdam-diag P),0.3,0.7343,0.20555555555555555
SF,AG-PTR (FedAdam-diag P),0.4,0.7208,0.09444444444444444
SF,AG-PTR (FedAdam-diag P),0.49,0.633,0.05
SF,AG-PTR (FedAdam-diag P),0.6,0.0427,0.0
